object_id,category,title,caption,image_file_path
PIA04499,planet,Proposed Missions - Terrestrial Planet Finder,NASA Terrestrial Planet Finder will use multiple telescopes working together to take family portraits of stars and their orbiting planets and determine which planets may have the right chemistry to sustain life.,vlm_images/PIA04499.jpg
PIA09259,planet,Simulating Planet-Hunting in a Lab,"Three simulated planets -- one as bright as Jupiter, one half as bright as Jupiter and one as faint as Earth -- stand out plainly in this image created from a sequence of 480 images captured by the High Contrast Imaging Testbed at NASA JPL.",vlm_images/PIA09259.jpg
PIA16823,planet,"Another Girl, Another Planet","Another Girl, Another Planet",vlm_images/PIA16823.jpg
PIA11247,planet,MESSENGER Encounters the Innermost Planet,MESSENGER Encounters the Innermost Planet,vlm_images/PIA11247.jpg
PIA14354,planet,A Swiftly Non-Tilting Planet,A Swiftly Non-Tilting Planet,vlm_images/PIA14354.jpg
PIA11518,planet,From Rings to Planet,From Rings to Planet,vlm_images/PIA11518.jpg
PIA07695,planet,Rings Against a Dark Planet,Rings Against a Dark Planet,vlm_images/PIA07695.jpg
PIA01282,planet,Hubble Observes the Planet Uranus,This NASA Hubble Space Telescope image of the planet Uranus reveals the planet rings and bright clouds and a high altitude haze above the planet south pole.,vlm_images/PIA01282.jpg
PIA16852,planet,Colors of the Innermost Planet: View 2,Colors of the Innermost Planet: View 2,vlm_images/PIA16852.jpg
PIA02350,planet,01 January 2000 On The Red Planet,01 January 2000 On The Red Planet,vlm_images/PIA02350.jpg
PIA16853,planet,Colors of the Innermost Planet: View 1,Colors of the Innermost Planet: View 1,vlm_images/PIA16853.jpg
GSFC_20171208_Archive_e000211,planet,Hubble Finds Planet Orbiting Pair of Stars,"Two's company, but three might not always be a crowd — at least in space.  Astronomers using NASA's Hubble Space Telescope, and a trick of nature, have confirmed the existence of a planet orbiting two stars in the system OGLE-2007-BLG-349, located 8,000 light-years away towards the center of our galaxy.  The planet orbits roughly 300 million miles from the stellar duo, about the distance from the asteroid belt to our sun. It completes an orbit around both stars roughly every seven years. The two red dwarf stars are a mere 7 million miles apart, or 14 times the diameter of the moon's orbit around Earth.  The Hubble observations represent the first time such a three-body system has been confirmed using the gravitational microlensing technique. Gravitational microlensing occurs when the gravity of a foreground star bends and amplifies the light of a background star that momentarily aligns with it. The particular character of the light magnification can reveal clues to the nature of the foreground star and any associated planets.  The three objects were discovered in 2007 by an international collaboration of five different groups: Microlensing Observations in Astrophysics (MOA), the Optical Gravitational Lensing Experiment (OGLE), the Microlensing Follow-up Network (MicroFUN), the Probing Lensing Anomalies Network (PLANET), and the Robonet Collaboration. These ground-based observations uncovered a star and a planet, but a detailed analysis also revealed a third body that astronomers could not definitively identify.  Image caption: This artist's illustration shows a gas giant planet circling a pair of red dwarf stars in the system OGLE-2007-BLG-349, located 8,000 light-years away. The Saturn-mass planet orbits roughly 300 million miles from the stellar duo. The two red dwarf stars are 7 million miles apart.  Credit: NASA, ESA, and G. Bacon (STScI)  Read more: <a href=""http://go.nasa.gov/2dcfMns"" rel=""nofollow"">go.nasa.gov/2dcfMns</a>  <b><a href=""http://www.nasa.gov/audience/formedia/features/MP_Photo_Guidelines.html"" rel=""nofollow"">NASA image use policy.</a></b>  <b><a href=""http://www.nasa.gov/centers/goddard/home/index.html"" rel=""nofollow"">NASA Goddard Space Flight Center</a></b> enables NASA’s mission through four scientific endeavors: Earth Science, Heliophysics, Solar System Exploration, and Astrophysics. Goddard plays a leading role in NASA’s accomplishments by contributing compelling scientific knowledge to advance the Agency’s mission.  <b>Follow us on <a href=""http://twitter.com/NASAGoddardPix"" rel=""nofollow"">Twitter</a></b>  <b>Like us on <a href=""http://www.facebook.com/pages/Greenbelt-MD/NASA-Goddard/395013845897?ref=tsd"" rel=""nofollow"">Facebook</a></b>  <b>Find us on <a href=""http://instagrid.me/nasagoddard/?vm=grid"" rel=""nofollow"">Instagram</a></b>",vlm_images/GSFC_20171208_Archive_e000211.jpg
S91-32389,planet,Composite image of the planet Mars taken by Hubble Space Telescope (HST),Composite image of the planet Mars taken by Hubble Space Telescope (HST) Wide Field and Planetary Camera (WFPC).,vlm_images/S91-32389.jpg
PIA22233,planet,A Rocky Planet Forms,"An artist's rendition of how a rocky planet forms.  As a rocky planet forms, the planet-forming material gathers in a process known as ""accretion."" It grows larger in size, and increases in temperature, along with the pressure at its core. The energy from this initial planet forming process causes the planet's elements to heat up and melt. Upon melting, layers form and separate. The heavier elements sink to the bottom, the lighter ones float to the top. This material then separates into layers as it cools, which is known as ""differentiation."" A fully formed planet slowly emerges, with an upper layer known as the crust, the mantle in the middle, and a solid iron core.  InSight is short for Interior Exploration using Seismic Investigations, Geodesy and Heat Transport. The InSight mission will help answer key questions about how the rocky planets of the solar system, as well as how rocky exoplanets, formed. So while InSight is a Mars mission, it's also more than a Mars mission.  The lander seeks the fingerprints of the processes that formed the rocky planets of the solar system, more than 4 billion years ago. It measures the planet's ""vital signs:"" its ""pulse"" (seismology), ""temperature"" (heat flow) and ""reflexes"" (precision tracking).   https://photojournal.jpl.nasa.gov/catalog/PIA22233",vlm_images/PIA22233.jpg
GSFC_20171208_Archive_e002090,planet,Ancient Planet in a Globular Cluster Core,"Release Date: July 10, 2003  A rich starry sky fills the view from an ancient gas-giant planet in the core of the globular star cluster M4, as imagined in this artist's concept. The 13-billion-year-old planet orbits a helium white-dwarf star and the millisecond pulsar B1620-26, seen at lower left. The globular cluster is deficient in heavier elements for making planets, so the existence of such a world implies that planet formation may have been quite efficient and common in the early universe. Object Names: B1620-26, M4 Image Type: Artwork  Illustration Credit: NASA and G. Bacon (STScI)  To learn more about this image go to:  <a href=""http://www.nasa.gov/centers/goddard/news/topstory/2003/0709hstssu.html"" rel=""nofollow"">www.nasa.gov/centers/goddard/news/topstory/2003/0709hstss...</a>  <b><a href=""http://www.nasa.gov/centers/goddard/home/index.html"" rel=""nofollow"">NASA Goddard Space Flight Center</a></b>  is home to the nation's largest organization of combined scientists, engineers and technologists that build spacecraft, instruments and new technology to study the Earth, the sun, our solar system, and the universe.",vlm_images/GSFC_20171208_Archive_e002090.jpg
PIA13034,planet,Portrait of Distant Planets,"This image taken with the Palomar Observatory Hale Telescope, shows the light from three planets orbiting a star 120 light-years away. The planets star, called HR8799, is located at the spot marked with an X.",vlm_images/PIA13034.jpg
PIA17304,planet,Gas Planet Orbits,"Jupiter, Saturn, Uranus, and Neptune are known as the jovian Jupiter-like planets because they are all gigantic compared with Earth, and they have a gaseous nature. This diagram shows the approximate distance of the jovian planets from the Sun.",vlm_images/PIA17304.jpg
PIA08042,planet,Extreme Planets  Artist Concept,This artist concept depicts the pulsar planet system discovered by Aleksander Wolszczan in 1992. Wolszczan used the Arecibo radio telescope in Puerto Rico to find three planets circling a pulsar called PSR B1257+12.,vlm_images/PIA08042.jpg
PIA24373,planet,TRAPPIST-1 and Solar System Planet Stats,Detailed measurements of the physical properties of the seven rocky TRAPPIST-1 planets and the four terrestrial planets in our solar system help scientists find similarities and differences between the two planet families.  https://photojournal.jpl.nasa.gov/catalog/PIA24373,vlm_images/PIA24373.jpg
PIA17998,planet,Moon or Planet? The Exomoon Hunt Continues Artist Concept,"Researchers have detected the first exomoon candidate -- a moon orbiting a planet that lies outside our solar system. Using a technique called microlensing, they observed what could be either a moon and a planet -- or a planet and a star.",vlm_images/PIA17998.jpg
PIA12015,planet,A Planet as Big as its Star  Artist Concept,"This artist concept shows the smallest star known to host a planet. The planet, called VB 10b, was discovered using astrometry, a method in which the wobble induced by a planet on its star is measured precisely on the sky.",vlm_images/PIA12015.jpg
PIA10106,planet,Wave of a Planet,"This plot tells astronomers that a fifth planet is in orbit around the star 55 Cancri, making the star the record-holder for hosting the most known exoplanets.",vlm_images/PIA10106.jpg
PIA14886,planet,Earth-class Planets Line Up,"This chart compares the first Earth-size planets found around a sun-like star to planets in our own solar system, Earth and Venus. NASA Kepler mission discovered the newfound planets, called Kepler-20e and Kepler-20f.",vlm_images/PIA14886.jpg
